breed,breed purpose
Aloha Chickens,eggs
Aloha Chickens,meat
Altsteirer Styrian Hen,eggs
Altsteirer Styrian Hen,meat
Amber Star Hybrid,eggs
Amber Whites,eggs
Amber Whites,meat
Ameraucana,eggs
Ameraucana,meat
American Bresse,eggs
American Bresse,meat
American Game,ornamental
American Game Bantams,ornamental
Ancona,eggs
Andalusian,eggs
Appenzeller Spitzhauben,ornamental
Arau-ameraucana,eggs
Arau-ameraucana,meat
Araucana,eggs
Araucana,meat
Aseel,ornamental
Australorp,eggs
Australorp,meat
Ayam Cemani,ornamental
Bantam,pet
Bantam Barred Rock,
Bantam Orpington,eggs
Bantam Orpington,meat
Bantam Partridge Wyandotte,ornamental
Barbezieux Chicken,
Barnevelder,eggs
Barnevelder,meat
Barnyard Mix,eggs
Barnyard Mix,meat
Barred Rock,eggs
Barred Rock,meat
Belgian Cuckoo Malines,
Belgian D' Anver,ornamental
Belgian D' Uccle,ornamental
Belgian Watermaal,
Bielefelder,eggs
Bielefelder,meat
Black Sex Link Chicken,eggs
Black Sex Link Chicken,meat
Blue Isbar,
Booted,ornamental
Brabanter,ornamental
Brahma,eggs
Brahma,meat
Brahma - Bantam,eggs
Brahma - Bantam,meat
Bredas,eggs
Bredas,meat
British Tailed Araucana,ornamental
Brown Leghorn,eggs
Brown Leghorn,meat
Buckeye,eggs
Buckeye,meat
Buff Cochin,
Buff Orpington X Black Australorp,eggs
Buff Orpington X Easter Egger,
Buff Orpington X Gold Laced Wyandotte,
California Grey,eggs
California Grey,meat
Campine,eggs
Carolina Blue Sex-link Ee,ornamental
Catalana,eggs
Catalana,meat
Chantecler,eggs
Chantecler,meat
Chicken Phoenix - Bantam,ornamental
Cochin,ornamental
Colombian Rock,
Columbian Blacktails,eggs
Columbian Blacktails,meat
Cornish,meat
Cornish Bantams,meat
Cornish Cross,meat
Cream Brabanter,eggs
Crevecoeur,eggs
Crevecoeur,meat
Cubalaya,ornamental
Cuckoo Maran,eggs
Cuckoo Maran,meat
Delaware,eggs
Delaware,meat
Delaware Blue Hen,eggs
Delaware Blue Hen,meat
Derbyshire Redcap,eggs
Derbyshire Redcap,meat
Dominique,eggs
Dominique,meat
Dorking,eggs
Dorking,meat
Dutch,ornamental
East Frisian Gull - An Old World Landrace,
Easter Egger Bantam,eggs
Easter Egger Bantam,meat
Easter Eggers,eggs
Euskal Oiloa - Marraduna Basque,
Favacauna,ornamental
Faverolles,eggs
Faverolles,meat
Fayoumis,ornamental
Flarry Eyed Gray,ornamental
Freedom Ranger,
Frizzle,eggs
Frizzle,meat
Gallo Giro,eggs
Gallo Giro,meat
Gallo Kelso,eggs
Gallo Kelso,meat
Genetic Hackle,
Giro Gamefowl,
Gold Star,eggs
