link,breed,mark,number of ratings,number of comments,number of reviews,number of views,breed purpose,comb,broodiness,climate tolerance,egg productivity,egg size,breed size
https://www.backyardchickens.com/reviews/aloha-chickens.11541/,Aloha Chickens,4.75,4,11,4,16334,dual purpose,single,average,warmer better,high,small,large
https://www.backyardchickens.com/reviews/altsteirer-styrian-hen.11819/,Altsteirer Styrian Hen,3.0,1,1,,6471,dual purpose,single,rare,,"['high', 'medium']",medium,medium
https://www.backyardchickens.com/reviews/amber-star-hybrid.11410/,Amber Star Hybrid,4.36,11,15,11,21612,eggs,single,rare,any,high,medium,large
https://www.backyardchickens.com/reviews/amber-whites.11446/,Amber Whites,4.57,7,7,7,18679,dual purpose,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/ameraucana.10835/,Ameraucana,4.21,261,343,256,170825,dual purpose,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/american-bresse.11858/,American Bresse,4.0,4,18,1,10707,dual purpose,single,poor,warmer better,high,large,large
https://www.backyardchickens.com/reviews/american-game.10864/,American Game,4.3,27,33,26,40903,ornamental,pea,frequent,any,medium,medium,large
https://www.backyardchickens.com/reviews/american-game-bantams.11606/,American Game Bantams,4.0,15,28,15,15071,ornamental,,frequent,,medium,small,small
https://www.backyardchickens.com/reviews/ancona.10882/,Ancona,3.92,37,43,37,33178,eggs,single,rare,any,high,large,large
https://www.backyardchickens.com/reviews/andalusian.10840/,Andalusian,3.89,53,54,53,44719,eggs,single,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/appenzeller-spitzhauben.10849/,Appenzeller Spitzhauben,4.42,24,33,23,37955,ornamental,v-shaped,rare,any,medium,medium,large
https://www.backyardchickens.com/reviews/arau-ameraucana.11725/,Arau-ameraucana,4.5,2,2,1,3946,dual purpose,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/araucana.10894/,Araucana,4.42,38,58,37,66227,dual purpose,pea,average,any,medium,medium,large
https://www.backyardchickens.com/reviews/aseel.10851/,Aseel,4.09,11,25,11,19888,ornamental,pea,frequent,any,low,medium,large
https://www.backyardchickens.com/reviews/australorp.10831/,Australorp,4.42,363,499,355,172183,dual purpose,single,average,any,high,large,large
https://www.backyardchickens.com/reviews/ayam-cemani.11679/,Ayam Cemani,4.6,10,19,9,19001,ornamental,single,poor,any,,medium,large
https://www.backyardchickens.com/reviews/bantam.11893/,Bantam,2.6,5,,5,3366,pet,"['any', 'rose', 'walnut']",frequent,warmer better,,small,small
https://www.backyardchickens.com/reviews/bantam-barred-rock.11756/,Bantam Barred Rock,5.0,2,2,1,8200,,,,,,,
https://www.backyardchickens.com/reviews/bantam-orpington.11971/,Bantam Orpington,,,1,,604,dual purpose,single,frequent,colder better,high,medium,small
https://www.backyardchickens.com/reviews/bantam-partridge-wyandotte.11362/,Bantam Partridge Wyandotte,4.6,5,6,4,10922,ornamental,rose,average,any,medium,small,small
https://www.backyardchickens.com/reviews/barbezieux-chicken.11758/,Barbezieux Chicken,,,1,,4097,,,,,,,
https://www.backyardchickens.com/reviews/barnevelder.10866/,Barnevelder,4.12,50,38,49,59615,dual purpose,single,average,any,medium,medium,large
